Semestre,Modulo,Turno,Seccion,IdDocente,Asistencia
2012 - III,Mod - II,Tarde,A,33,Puntual
2012 - III,Mod - I,Tarde,B,27,Tarde
2012 - III,Mod - I,Tarde,A,20,Tarde
2012 - III,Mod - I,Tarde,A,58,Tarde
2012 - III,Mod - II,Tarde,A,27,Tarde
2012 - III,Mod - III,Tarde,A,24,Puntual
2012 - III,Mod - IV,Tarde,A,45,Tarde
2012 - III,Mod - III,Noche,A,107,Puntual
2012 - III,Mod - IV,Noche,A,52,Tarde
2012 - III,Mod - II,Noche,A,114,Puntual
2012 - III,Mod - I,Noche,A,119,Puntual
2012 - III,Mod - I,Noche,A,44,Tarde
2012 - III,Mod - II,Noche,A,39,Puntual
2012 - III,Mod - III,Noche,A,56,Tarde
2012 - III,Mod - IV,Noche,A,45,Tarde
2012 - III,Mod - IV,Noche,A,56,Tarde
2012 - III,Mod - III,Noche,A,52,Falto
2012 - III,Mod - II,Noche,A,115,Tarde
2012 - III,Mod - I,Noche,A,60,Falto
2012 - III,Mod - I,Mañana,A,46,Reemplazo
2012 - III,Mod - I,Mañana,B,20,Puntual
2012 - III,Mod - II,Mañana,A,47,Puntual
2012 - III,Mod - III,Mañana,A,107,Puntual
2012 - III,Mod - IV,Mañana,A,45,Puntual
2012 - III,Mod - V,Mañana,A,26,Puntual
2012 - III,Mod - V,Mañana,A,26,Tarde
2012 - III,Mod - IV,Mañana,A,55,Puntual
2012 - III,Mod - I,Mañana,A,3,Puntual
2012 - III,Mod - III,Mañana,A,85,Puntual
2012 - III,Mod - II,Mañana,C,56,Falto
2012 - III,Mod - II,Mañana,A,120,Tarde
2012 - III,Mod - II,Mañana,B,18,Puntual
2012 - III,Mod - I,Mañana,C,47,Tarde
2012 - III,Mod - I,Mañana,C,3,Tarde
2012 - III,Mod - I,Mañana,D,54,Puntual
2012 - III,Mod - I,Mañana,A,85,Tarde
2012 - III,Mod - II,Mañana,B,40,Tarde
2012 - III,Mod - II,Mañana,C,47,Tarde
2012 - III,Mod - III,Mañana,A,33,Tarde
2012 - III,Mod - IV,Mañana,A,26,Tarde
2012 - III,Mod - II,Mañana,A,18,Tarde
2012 - III,Mod - V,Mañana,A,45,Reemplazo
2012 - III,Mod - IV,Mañana,C,8,Tarde
2012 - III,Mod - III,Mañana,C,107,Tarde
2012 - III,Mod - II,Mañana,C,40,Tarde
2012 - III,Mod - I,Mañana,C,3,Tarde
2012 - III,Mod - I,Tarde,A,27,Tarde
2012 - III,Mod - I,Tarde,B,112,Tarde
2012 - III,Mod - II,Tarde,A,47,Puntual
2012 - III,Mod - III,Tarde,A,56,Tarde
2012 - III,Mod - IV,Tarde,A,37,Tarde
2012 - III,Mod - IV,Tarde,A,56,Tarde
2012 - III,Mod - III,Tarde,A,85,Tarde
2012 - III,Mod - II,Tarde,A,58,Puntual
2012 - III,Mod - I,Tarde,A,27,Tarde
2012 - III,Mod - I,Tarde,A,47,Tarde
2012 - III,Mod - II,Tarde,A,27,Tarde
2012 - III,Mod - III,Tarde,A,33,Tarde
2012 - III,Mod - IV,Tarde,A,107,Tarde
2012 - III,Mod - IV,Noche,A,52,Tarde
2012 - III,Mod - III,Noche,A,107,Tarde
2012 - III,Mod - I,Noche,A,47,Tarde
2012 - III,Mod - II,Noche,A,114,Tarde
2012 - III,Mod - II,Noche,A,44,Puntual
2012 - III,Mod - I,Noche,A,18,Puntual
2012 - III,Mod - IV,Noche,A,107,Tarde
2012 - III,Mod - III,Noche,A,115,Puntual
2012 - III,Mod - IV,Noche,A,107,Tarde
2012 - III,Mod - I,Noche,A,60,Puntual
2012 - III,Mod - II,Noche,A,119,Puntual
2012 - III,Mod - III,Noche,A,85,Tarde
2012 - III,Mod - I,Mañana,A,46,Puntual
2012 - III,Mod - I,Mañana,B,27,Puntual
2012 - III,Mod - II,Mañana,A,47,Puntual
2012 - III,Mod - III,Mañana,A,107,Puntual
2012 - III,Mod - IV,Mañana,A,26,Puntual
2012 - III,Mod - V,Mañana,A,37,Puntual
2012 - III,Mod - V,Mañana,A,11,Tarde
2012 - III,Mod - IV,Mañana,A,26,Tarde
2012 - III,Mod - IV,Mañana,C,116,Tarde
2012 - III,Mod - III,Mañana,A,85,Tarde
2012 - III,Mod - II,Mañana,A,120,Tarde
2012 - III,Mod - II,Mañana,B,55,Puntual
2012 - III,Mod - II,Mañana,C,33,Tarde
2012 - III,Mod - I,Mañana,A,3,Puntual
2012 - III,Mod - I,Mañana,C,47,Tarde
2012 - III,Mod - I,Mañana,D,54,Tarde
2012 - III,Mod - I,Mañana,C,55,Tarde
2012 - III,Mod - I,Mañana,A,85,Tarde
2012 - III,Mod - II,Mañana,C,47,Tarde
2012 - III,Mod - III,Mañana,A,56,Tarde
2012 - III,Mod - II,Mañana,A,18,Puntual
2012 - III,Mod - IV,Mañana,C,8,Puntual
2012 - III,Mod - IV,Mañana,A,116,Tarde
2012 - III,Mod - V,Mañana,A,11,Tarde
2012 - III,Mod - IV,Mañana,C,45,Tarde
2012 - III,Mod - III,Mañana,C,56,Tarde
2012 - III,Mod - II,Mañana,C,55,Tarde
2012 - III,Mod - I,Mañana,C,3,Tarde
2012 - III,Mod - I,Tarde,A,55,Tarde
2012 - III,Mod - I,Tarde,B,20,Tarde
2012 - III,Mod - III,Tarde,A,56,Tarde
2012 - III,Mod - II,Tarde,A,47,Puntual
2012 - III,Mod - IV,Tarde,A,116,Tarde
2012 - III,Mod - IV,Tarde,A,107,Tarde
2012 - III,Mod - II,Tarde,A,58,Tarde
2012 - III,Mod - III,Tarde,A,85,Puntual
2012 - III,Mod - I,Tarde,A,27,Tarde
2012 - III,Mod - I,Tarde,A,47,Tarde
2012 - III,Mod - II,Tarde,A,27,Tarde
2012 - III,Mod - III,Tarde,A,33,Puntual
2012 - III,Mod - IV,Tarde,A,37,Tarde
2012 - III,Mod - IV,Noche,A,37,Tarde
2012 - III,Mod - II,Noche,A,114,Puntual
2012 - III,Mod - I,Noche,A,47,Tarde
2012 - III,Mod - III,Noche,A,85,Tarde
2012 - III,Mod - II,Noche,A,115,Tarde
2012 - III,Mod - III,Noche,A,107,Tarde
2012 - III,Mod - I,Noche,A,18,Puntual
2012 - III,Mod - IV,Noche,A,56,Falto
2012 - III,Mod - IV,Noche,A,56,Tarde
2012 - III,Mod - I,Noche,A,60,Puntual
2012 - III,Mod - II,Noche,A,119,Tarde
2012 - III,Mod - III,Noche,A,115,Tarde
2012 - III,Mod - I,Mañana,B,27,Tarde
2012 - III,Mod - I,Mañana,A,46,Puntual
2012 - III,Mod - II,Mañana,A,40,Puntual
2012 - III,Mod - III,Mañana,A,107,Puntual
2012 - III,Mod - IV,Mañana,A,45,Tarde
2012 - III,Mod - V,Mañana,A,37,Tarde
2012 - III,Mod - V,Mañana,A,26,Tarde
2012 - III,Mod - IV,Mañana,A,55,Puntual
2012 - III,Mod - II,Mañana,A,8,Puntual
2012 - III,Mod - III,Mañana,A,11,Tarde
2012 - III,Mod - III,Mañana,C,107,Tarde
2012 - III,Mod - II,Mañana,B,45,Tarde
2012 - III,Mod - II,Mañana,C,40,Tarde
2012 - III,Mod - I,Mañana,A,44,Tarde
2012 - III,Mod - I,Mañana,B,3,Puntual
2012 - III,Mod - I,Mañana,C,55,Tarde
2012 - III,Mod - I,Mañana,D,54,Tarde
2012 - III,Mod - I,Mañana,A,120,Tarde
2012 - III,Mod - II,Mañana,A,3,Tarde
2012 - III,Mod - II,Mañana,B,40,Tarde
2012 - III,Mod - II,Mañana,C,56,Tarde
2012 - III,Mod - III,Mañana,A,33,Tarde
2012 - III,Mod - IV,Mañana,A,37,Tarde
2012 - III,Mod - V,Mañana,A,26,Tarde
2012 - III,Mod - IV,Mañana,C,8,Tarde
2012 - III,Mod - III,Mañana,C,26,Tarde
2012 - III,Mod - II,Mañana,C,40,Tarde
2012 - III,Mod - I,Mañana,D,3,Tarde
2012 - III,Mod - I,Mañana,C,44,Puntual
2012 - III,Mod - I,Mañana,C,58,Tarde
2012 - III,Mod - I,Tarde,A,55,Puntual
2012 - III,Mod - I,Tarde,B,112,Puntual
2012 - III,Mod - II,Tarde,A,40,Tarde
2012 - III,Mod - III,Tarde,A,56,Tarde
2012 - III,Mod - IV,Tarde,A,107,Puntual
2012 - III,Mod - IV,Tarde,A,56,Tarde
2012 - III,Mod - III,Tarde,A,11,Tarde
2012 - III,Mod - II,Tarde,A,33,Tarde
2012 - III,Mod - I,Tarde,B,27,Puntual
2012 - III,Mod - I,Tarde,A,20,Tarde
2012 - III,Mod - I,Tarde,A,58,Tarde
2012 - III,Mod - II,Tarde,A,27,Tarde
2012 - III,Mod - III,Tarde,A,24,Puntual
2012 - III,Mod - IV,Tarde,A,45,Tarde
2012 - III,Mod - III,Noche,A,107,Tarde
2012 - III,Mod - IV,Noche,A,52,Tarde
2012 - III,Mod - II,Noche,A,114,Falto
2012 - III,Mod - I,Noche,A,119,Tarde
2012 - III,Mod - I,Noche,A,44,Tarde
2012 - III,Mod - II,Noche,A,39,Puntual
2012 - III,Mod - IV,Noche,A,45,Tarde
2012 - III,Mod - III,Noche,A,56,Falto
2012 - III,Mod - III,Noche,A,52,Tarde
2012 - III,Mod - IV,Noche,A,56,Tarde
2012 - III,Mod - II,Noche,A,44,Tarde
2012 - III,Mod - I,Noche,A,18,Puntual
2012 - III,Mod - I,Mañana,A,46,Puntual
2012 - III,Mod - I,Mañana,B,27,Tarde
2012 - III,Mod - II,Mañana,A,47,Tarde
2012 - III,Mod - III,Mañana,A,56,Falto
2012 - III,Mod - IV,Mañana,A,116,Puntual
2012 - III,Mod - V,Mañana,A,37,Tarde
2013 - I,Mod - II,Noche,A,123,Puntual
2013 - I,Mod - I,Mañana,A,44,Puntual
2013 - I,Mod - I,Mañana,B,2,Puntual
2013 - I,Mod - II,Mañana,A,58,Puntual
2013 - I,Mod - III,Mañana,A,52,Tarde
2013 - I,Mod - IV,Mañana,A,45,Tarde
2013 - I,Mod - V,Mañana,A,54,Puntual
2013 - I,Mod - V,Mañana,A,37,Puntual
2013 - I,Mod - IV,Mañana,A,107,Tarde
2013 - I,Mod - III,Mañana,C,3,Puntual
2013 - I,Mod - II,Mañana,C,55,Puntual
2013 - I,Mod - I,Mañana,E,126,Tarde
2013 - I,Mod - II,Mañana,B,40,Puntual
2013 - I,Mod - II,Mañana,A,2,Tarde
2013 - I,Mod - I,Mañana,C,54,Tarde
2013 - I,Mod - I,Mañana,A,58,Tarde
2013 - I,Mod - I,Mañana,D,33,Puntual
2013 - I,Mod - I,Mañana,B,55,Tarde
2013 - I,Mod - I,Mañana,C,58,Tarde
2013 - I,Mod - I,Mañana,A,3,Tarde
2013 - I,Mod - II,Mañana,A,45,Tarde
2013 - I,Mod - II,Mañana,B,33,Tarde
2013 - I,Mod - III,Mañana,A,56,Tarde
2013 - I,Mod - I,Mañana,E,20,Tarde
2013 - I,Mod - II,Mañana,C,126,Tarde
2013 - I,Mod - III,Mañana,C,11,Tarde
2013 - I,Mod - IV,Mañana,A,37,Tarde
2013 - I,Mod - V,Mañana,A,107,Tarde
2013 - I,Mod - II,Mañana,C,40,Tarde
2013 - I,Mod - I,Mañana,E,33,Tarde
2013 - I,Mod - III,Mañana,C,56,Tarde
2013 - I,Mod - I,Mañana,D,3,Tarde
2013 - I,Mod - I,Mañana,C,44,Puntual
2013 - I,Mod - I,Tarde,A,112,Puntual
2013 - I,Mod - I,Tarde,B,44,Tarde
2013 - I,Mod - II,Tarde,A,40,Tarde
2013 - I,Mod - III,Tarde,A,52,Tarde
2013 - I,Mod - VI,Tarde,A,50,Puntual
2013 - I,Mod - V,Tarde,A,107,Tarde
2013 - I,Mod - VI,Tarde,A,50,Tarde
2013 - I,Mod - V,Tarde,A,56,Tarde
2013 - I,Mod - III,Tarde,A,45,Tarde
2013 - I,Mod - II,Tarde,A,40,Tarde
2013 - I,Mod - I,Tarde,B,27,Tarde
2013 - I,Mod - I,Tarde,A,44,Tarde
2013 - I,Mod - VI,Tarde,A,50,Tarde
2013 - I,Mod - VI,Tarde,A,50,Tarde
2013 - I,Mod - V,Tarde,A,11,Puntual
2013 - I,Mod - III,Tarde,A,24,Reemplazo
2013 - I,Mod - I,Tarde,A,40,Tarde
2013 - I,Mod - II,Tarde,A,33,Tarde
2013 - I,Mod - I,Noche,B,27,Puntual
2013 - I,Mod - III,Noche,A,46,Tarde
2013 - I,Mod - I,Noche,A,20,Falto
2013 - I,Mod - V,Noche,A,52,Puntual
2013 - I,Mod - II,Noche,A,18,Puntual
2013 - I,Mod - VI,Noche,A,55,Tarde
2013 - I,Mod - IV,Noche,A,107,Puntual
2013 - I,Mod - I,Noche,C,121,Tarde
2013 - I,Mod - IV,Noche,A,107,Tarde
2013 - I,Mod - I,Noche,C,60,Tarde
2013 - I,Mod - II,Noche,A,123,Puntual
2013 - I,Mod - V,Noche,A,52,Tarde
2013 - I,Mod - I,Noche,A,39,Puntual
2013 - I,Mod - III,Noche,A,46,Tarde
2013 - I,Mod - VI,Noche,A,54,Puntual
2013 - I,Mod - I,Noche,C,107,Tarde
2013 - I,Mod - IV,Noche,A,125,Puntual
2013 - I,Mod - V,Noche,A,56,Tarde
2013 - I,Mod - II,Noche,A,123,Tarde
2013 - I,Mod - III,Noche,A,115,Puntual
2013 - I,Mod - I,Noche,B,46,Tarde
2013 - I,Mod - I,Noche,A,27,Puntual
2013 - I,Mod - VI,Noche,A,54,Tarde
2013 - I,Mod - I,Mañana,A,44,Tarde
2013 - I,Mod - I,Mañana,B,2,Puntual
2013 - I,Mod - II,Mañana,A,58,Falto
2013 - I,Mod - III,Mañana,A,52,Tarde
2013 - I,Mod - IV,Mañana,A,45,Tarde
2013 - I,Mod - V,Mañana,A,54,Puntual
2013 - I,Mod - II,Mañana,C,55,Puntual
2013 - I,Mod - IV,Mañana,A,26,Puntual
2013 - I,Mod - V,Mañana,A,37,Puntual
2013 - I,Mod - I,Mañana,E,126,Puntual
2013 - I,Mod - III,Mañana,C,3,Puntual
2013 - I,Mod - II,Mañana,B,40,Puntual
2013 - I,Mod - II,Mañana,A,2,Tarde
2013 - I,Mod - I,Mañana,A,58,Tarde
2013 - I,Mod - I,Mañana,C,54,Tarde
2013 - I,Mod - I,Mañana,D,33,Puntual
2013 - I,Mod - I,Mañana,A,2,Tarde
2013 - I,Mod - I,Mañana,C,58,Tarde
2013 - I,Mod - I,Mañana,B,55,Tarde
2013 - I,Mod - II,Mañana,A,45,Tarde
2013 - I,Mod - II,Mañana,B,33,Tarde
2013 - I,Mod - III,Mañana,C,11,Reemplazo
2013 - I,Mod - III,Mañana,A,56,Tarde
2013 - I,Mod - I,Mañana,E,20,Tarde
2013 - I,Mod - IV,Mañana,A,37,Tarde
2013 - I,Mod - II,Mañana,C,126,Tarde
2013 - I,Mod - V,Mañana,A,54,Tarde
2013 - I,Mod - II,Mañana,C,40,Tarde
2013 - I,Mod - I,Mañana,E,33,Tarde
2013 - I,Mod - III,Mañana,C,56,Tarde
2013 - I,Mod - I,Mañana,C,44,Tarde
2013 - I,Mod - I,Mañana,D,3,Tarde
2013 - I,Mod - I,Tarde,A,112,Tarde
2013 - I,Mod - I,Tarde,B,55,Tarde
2013 - I,Mod - II,Tarde,A,40,Tarde
2013 - I,Mod - III,Tarde,A,52,Tarde
2013 - I,Mod - VI,Tarde,A,50,Tarde
2013 - I,Mod - V,Tarde,A,56,Tarde
2013 - I,Mod - VI,Tarde,A,50,Tarde
2013 - I,Mod - V,Tarde,A,56,Tarde
2013 - I,Mod - III,Tarde,A,24,Puntual
2013 - I,Mod - II,Tarde,A,40,Tarde
2013 - I,Mod - I,Tarde,B,27,Tarde
2013 - I,Mod - I,Tarde,A,44,Tarde
2013 - I,Mod - VI,Tarde,A,50,Tarde
2013 - I,Mod - VI,Tarde,A,50,Tarde
2013 - I,Mod - V,Tarde,A,11,Reemplazo
2013 - I,Mod - I,Tarde,A,40,Tarde
2013 - I,Mod - II,Tarde,A,33,Puntual
2013 - I,Mod - III,Tarde,A,24,Tarde
2013 - I,Mod - I,Noche,B,27,Puntual
2013 - I,Mod - I,Noche,A,20,Puntual
2013 - I,Mod - V,Noche,A,56,Tarde
2013 - I,Mod - III,Noche,A,45,Tarde
2013 - I,Mod - I,Noche,C,121,Puntual
2013 - I,Mod - II,Noche,A,47,Tarde
2013 - I,Mod - IV,Noche,A,107,Tarde
2013 - I,Mod - VI,Noche,A,55,Puntual
2013 - I,Mod - IV,Noche,A,45,Tarde
2013 - I,Mod - I,Noche,C,20,Tarde
2013 - I,Mod - V,Noche,A,124,Tarde
2013 - I,Mod - II,Noche,A,18,Puntual
2013 - I,Mod - III,Noche,A,107,Tarde
2013 - I,Mod - I,Noche,A,39,Reemplazo
2013 - I,Mod - VI,Noche,A,54,Tarde
2013 - I,Mod - IV,Noche,A,125,Puntual
2013 - I,Mod - I,Noche,C,60,Tarde
2013 - I,Mod - V,Noche,A,56,Tarde
2013 - I,Mod - II,Noche,A,27,Tarde
2013 - I,Mod - I,Noche,B,46,Tarde
2013 - I,Mod - I,Noche,A,43,Tarde
2013 - I,Mod - III,Noche,A,115,Puntual
2013 - I,Mod - VI,Noche,A,54,Tarde
2013 - I,Mod - I,Mañana,A,2,Puntual
2013 - I,Mod - II,Mañana,A,47,Puntual
2013 - I,Mod - III,Mañana,A,52,Puntual
2013 - I,Mod - IV,Mañana,A,26,Tarde
2013 - I,Mod - V,Mañana,A,54,Puntual
2013 - I,Mod - V,Mañana,A,11,Reemplazo
2013 - I,Mod - II,Mañana,C,18,Puntual
2013 - I,Mod - I,Mañana,E,121,Puntual
2013 - I,Mod - II,Mañana,A,55,Puntual
2013 - I,Mod - IV,Mañana,A,107,Tarde
2013 - I,Mod - II,Mañana,B,40,Tarde
2013 - I,Mod - III,Mañana,C,85,Tarde
2013 - I,Mod - I,Mañana,A,47,Tarde
2013 - I,Mod - I,Mañana,C,54,Tarde
2013 - I,Mod - I,Mañana,D,33,Tarde
2013 - I,Mod - I,Mañana,C,85,Tarde
2013 - I,Mod - I,Mañana,B,20,Tarde
2013 - I,Mod - I,Mañana,A,3,Puntual
2013 - I,Mod - II,Mañana,A,126,Tarde
2013 - I,Mod - II,Mañana,B,55,Tarde
2013 - I,Mod - III,Mañana,C,115,Tarde
2013 - I,Mod - II,Mañana,C,47,Tarde
2013 - I,Mod - I,Mañana,E,8,Tarde
2013 - I,Mod - V,Mañana,A,107,Tarde
2013 - I,Mod - IV,Mañana,A,11,Reemplazo
2013 - I,Mod - I,Mañana,E,33,Puntual
2013 - I,Mod - II,Mañana,C,40,Tarde
2013 - I,Mod - III,Mañana,C,56,Reemplazo
2013 - I,Mod - I,Mañana,C,3,Tarde
2013 - I,Mod - I,Tarde,A,27,Puntual
2013 - I,Mod - I,Tarde,B,55,Tarde
2013 - I,Mod - II,Tarde,A,47,Tarde
2013 - I,Mod - III,Tarde,A,85,Puntual
2013 - I,Mod - V,Tarde,A,37,Tarde
2013 - I,Mod - VI,Tarde,A,3,Tarde
2013 - I,Mod - VI,Tarde,A,3,Tarde
2013 - I,Mod - V,Tarde,A,56,Tarde
2013 - I,Mod - III,Tarde,A,115,Tarde
2013 - I,Mod - II,Tarde,A,40,Tarde
2013 - I,Mod - I,Tarde,A,27,Tarde
2013 - I,Mod - VI,Tarde,A,54,Tarde
2013 - I,Mod - VI,Tarde,A,54,Tarde
2013 - I,Mod - V,Tarde,A,107,Tarde
2013 - I,Mod - I,Tarde,A,47,Tarde
2013 - I,Mod - II,Tarde,A,18,Falto
2013 - I,Mod - III,Tarde,A,45,Tarde
2013 - I,Mod - III,Noche,A,46,Tarde
2013 - I,Mod - I,Noche,A,27,Puntual
2013 - I,Mod - II,Noche,A,18,Puntual
2013 - I,Mod - V,Noche,A,124,Puntual
2013 - I,Mod - IV,Noche,A,45,Tarde
2013 - I,Mod - VI,Noche,A,55,Puntual
2013 - I,Mod - I,Noche,C,123,Puntual
2013 - I,Mod - II,Noche,A,123,Tarde
2013 - I,Mod - I,Noche,C,107,Tarde
2013 - I,Mod - IV,Noche,A,45,Tarde
2013 - I,Mod - V,Noche,A,56,Tarde
2013 - I,Mod - I,Noche,A,44,Tarde
2013 - I,Mod - III,Noche,A,46,Tarde
2013 - I,Mod - VI,Noche,A,54,Tarde
2013 - I,Mod - I,Noche,C,60,Puntual
2013 - I,Mod - IV,Noche,A,125,Tarde
2013 - I,Mod - II,Noche,A,123,Tarde
2013 - I,Mod - V,Noche,A,56,Tarde
2013 - I,Mod - III,Noche,A,107,Tarde
2013 - I,Mod - I,Noche,B,46,Tarde
2013 - I,Mod - I,Noche,A,43,Tarde
2013 - I,Mod - VI,Noche,A,54,Tarde
2013 - I,Mod - I,Mañana,A,2,Puntual
2013 - I,Mod - II,Mañana,A,47,Tarde
2013 - I,Mod - III,Mañana,A,52,Puntual
2013 - I,Mod - V,Mañana,A,54,Puntual
2013 - I,Mod - IV,Mañana,A,26,Puntual
2013 - I,Mod - IV,Mañana,A,26,Tarde
2013 - I,Mod - II,Mañana,C,18,Puntual
2013 - I,Mod - I,Mañana,E,121,Tarde
2013 - I,Mod - V,Mañana,A,11,Reemplazo
2013 - I,Mod - III,Mañana,C,85,Puntual
2013 - I,Mod - II,Mañana,A,55,Puntual
2013 - I,Mod - I,Mañana,A,47,Tarde
2013 - I,Mod - I,Mañana,C,3,Puntual
2013 - I,Mod - I,Mañana,D,20,Tarde
2013 - I,Mod - I,Mañana,B,55,Tarde
2013 - I,Mod - I,Mañana,A,3,Tarde
2013 - I,Mod - II,Mañana,A,126,Tarde
2013 - I,Mod - II,Mañana,B,45,Tarde
2013 - I,Mod - I,Mañana,C,85,Tarde
2013 - I,Mod - III,Mañana,C,115,Puntual
2013 - I,Mod - V,Mañana,A,56,Tarde
2013 - I,Mod - II,Mañana,C,47,Tarde
2013 - I,Mod - IV,Mañana,A,11,Reemplazo
2013 - I,Mod - I,Mañana,E,8,Puntual
2013 - I,Mod - II,Mañana,C,55,Tarde
2013 - I,Mod - I,Mañana,E,8,Tarde
2013 - I,Mod - III,Mañana,C,56,Tarde
2013 - I,Mod - I,Mañana,C,3,Tarde
2013 - I,Mod - I,Tarde,A,112,Tarde
2013 - I,Mod - I,Tarde,B,55,Tarde
2013 - I,Mod - II,Tarde,A,47,Tarde
2013 - I,Mod - III,Tarde,A,85,Tarde
2013 - I,Mod - V,Tarde,A,11,Falto
2013 - I,Mod - VI,Tarde,A,3,Tarde
2013 - I,Mod - VI,Tarde,A,3,Tarde
2013 - I,Mod - III,Tarde,A,115,Puntual
2013 - I,Mod - V,Tarde,A,56,Tarde
2013 - I,Mod - II,Tarde,A,55,Tarde
2013 - I,Mod - I,Tarde,A,27,Tarde
2013 - I,Mod - VI,Tarde,A,54,Puntual
2013 - I,Mod - VI,Tarde,A,54,Tarde
2013 - I,Mod - I,Tarde,A,47,Tarde
2013 - I,Mod - II,Tarde,A,18,Puntual
2013 - I,Mod - III,Tarde,A,24,Reemplazo
2013 - I,Mod - V,Tarde,A,107,Tarde
2013 - I,Mod - III,Noche,A,107,Tarde
2013 - I,Mod - I,Noche,A,27,Puntual
2013 - I,Mod - VI,Noche,A,50,Tarde
2013 - I,Mod - I,Noche,C,20,Tarde
2013 - I,Mod - IV,Noche,A,45,Tarde
2013 - I,Mod - V,Noche,A,37,Tarde
2013 - I,Mod - II,Noche,A,18,Tarde
2013 - I,Mod - V,Noche,A,124,Puntual
2013 - I,Mod - I,Noche,C,121,Tarde
2013 - I,Mod - II,Noche,A,47,Tarde
2013 - I,Mod - IV,Noche,A,37,Tarde
2013 - I,Mod - VI,Noche,A,50,Tarde
2013 - I,Mod - I,Noche,A,44,Tarde
2013 - I,Mod - III,Noche,A,45,Tarde
2013 - I,Mod - III,Noche,A,85,Tarde
2013 - I,Mod - I,Noche,B,20,Tarde
2013 - I,Mod - I,Noche,A,43,Falto
2013 - I,Mod - VI,Noche,A,50,Tarde
2013 - I,Mod - IV,Noche,A,124,Tarde
2013 - I,Mod - V,Noche,A,56,Tarde
2013 - I,Mod - I,Noche,C,107,Tarde
2013 - I,Mod - II,Noche,A,123,Puntual
2013 - I,Mod - I,Mañana,A,44,Tarde
2013 - I,Mod - I,Mañana,B,2,Puntual
2013 - I,Mod - II,Mañana,A,58,Puntual
2013 - I,Mod - III,Mañana,A,52,Puntual
2013 - I,Mod - IV,Mañana,A,45,Puntual
2013 - I,Mod - V,Mañana,A,54,Puntual
2013 - I,Mod - V,Mañana,A,37,Tarde
2013 - I,Mod - IV,Mañana,A,107,Tarde
2013 - I,Mod - III,Mañana,C,3,Puntual
2013 - I,Mod - II,Mañana,C,55,Puntual
2013 - I,Mod - I,Mañana,E,126,Tarde
2013 - I,Mod - II,Mañana,B,40,Tarde
2013 - I,Mod - II,Mañana,A,2,Tarde
2013 - I,Mod - I,Mañana,C,54,Tarde
2013 - I,Mod - I,Mañana,A,58,Tarde
2013 - I,Mod - I,Mañana,D,33,Puntual
2013 - I,Mod - I,Mañana,B,55,Tarde
2013 - I,Mod - I,Mañana,C,58,Tarde
2013 - I,Mod - I,Mañana,A,3,Tarde
2013 - I,Mod - II,Mañana,A,45,Tarde
2013 - I,Mod - II,Mañana,B,33,Tarde
2013 - I,Mod - III,Mañana,A,56,Tarde
2013 - I,Mod - I,Mañana,E,20,Tarde
2013 - I,Mod - II,Mañana,C,126,Tarde
2013 - I,Mod - III,Mañana,C,11,Reemplazo
2013 - I,Mod - IV,Mañana,A,37,Tarde
2013 - I,Mod - V,Mañana,A,107,Tarde
2013 - I,Mod - II,Mañana,C,40,Tarde
